Age,Temperature
11972.2861,-1.69
11993.3936,-1.99
12014.4326,-1.96
12036.7266,-3.02
12059.3008,-2.57
12082.4902,-2.91
12105.8330,-4.44
12130.8604,-3.03
12156.1396,-2.97
12180.5840,-3.81
12204.7021,-2.63
12227.2490,-2.12
12249.9336,-3.61
12273.4033,-2.23
12297.4521,-4.23
12323.7012,-4.40
12349.8477,-3.49
12375.8887,-4.91
12401.6885,-3.17
12427.3848,-2.76
12452.1934,-4.10
12477.0107,-4.14
12503.2119,-3.86
12530.3105,-5.50
12559.3770,-4.91
12588.3926,-5.17
12617.3242,-4.65
12645.7383,-5.15
12673.4316,-3.88
12700.4229,-4.35
12727.2959,-4.19
12754.4102,-5.28
12784.1279,-5.53
12812.8379,-4.10
12840.6387,-4.74
12867.3994,-3.56
12894.1436,-4.41
12921.5732,-4.82
12949.6152,-5.04
12978.3389,-4.58
13005.3965,-3.85
13032.1680,-4.05
13058.9648,-4.61
13086.6318,-5.17
13115.4902,-4.70
13143.2520,-4.27
13170.4932,-3.47
13195.9873,-3.94
13221.9482,-4.60
13248.8369,-3.60
13274.8125,-3.57
13300.1768,-4.12
13326.6846,-4.28
13353.6670,-5.31
13383.1836,-5.06
13412.0430,-4.49
13440.2119,-4.92
13467.7861,-3.97
13494.8799,-2.76
13519.9131,-4.46
13545.5420,-3.88
13572.4082,-4.83
13600.4316,-4.98
13629.2363,-5.06
13658.3955,-5.03
13686.9766,-4.18
13714.5898,-4.78
13742.3896,-4.43
13770.2178,-3.06
13796.3457,-5.07
13822.4404,-3.15
13848.4473,-4.60
13875.4268,-4.68
13903.4229,-4.23
13929.7461,-3.49
13955.6240,-2.82
13978.9863,-2.64
14002.4414,-3.24
14027.6934,-3.98
14053.2969,-4.05
14080.1504,-4.48
14106.1699,-3.27
14131.2773,-2.71
14155.6436,-3.00
14179.5664,-3.43
14204.5215,-4.14
14229.9482,-1.02
14251.6855,-1.93
14272.6641,-2.16
14294.8633,-2.69
14317.7021,-2.50
14340.8975,-2.96
14364.3115,-2.52
14390.0684,-5.32
14417.1270,-3.78
14441.9443,-2.71
14466.5557,-4.17
14493.4365,-4.17
14520.1777,-3.55
14546.5146,-4.59
14573.5322,-4.20
14601.2031,-5.42
14630.5674,-4.94
14659.8857,-4.22
14687.8242,-5.03
14715.8340,-4.44
14743.9121,-3.62
14770.2705,-4.04
14796.4482,-4.29
14823.0586,-3.62
14849.6504,-4.02
14876.2168,-4.25
14904.2490,-5.52
14933.3652,-2.30
14958.7334,-4.54
14984.2314,-5.10
15013.6973,-5.09
15042.2500,-4.05
15069.8320,-4.17
15097.3730,-4.50
15124.9482,-4.36
15152.9170,-4.76
15181.5762,-5.16
15211.2520,-5.72
15242.0713,-5.47
15273.1592,-5.66
15304.2441,-5.51
15335.3877,-5.74
15366.4971,-5.70
15397.4355,-4.75
15427.1318,-5.11
15456.5674,-5.35
15487.4111,-6.01
15518.2646,-5.19
15549.1982,-6.37
15581.1982,-4.80
15612.0059,-5.39
15641.9473,-5.25
15672.4775,-5.61
15703.0625,-5.32
15733.7461,-5.62
15765.1611,-5.82
15797.1064,-6.18
15829.6992,-5.39
15861.7119,-6.66
15894.1484,-5.91
15927.0967,-5.96
15959.8936,-6.46
15993.8545,-6.90
16028.6016,-6.76
16063.3047,-5.94
16096.1738,-6.10
16128.8203,-6.07
16161.6318,-6.22
16195.9795,-7.41
16230.9004,-6.44
16265.7949,-6.12
16299.1855,-6.76
16333.9238,-6.79
16368.9844,-6.75
16404.1270,-6.86
16440.2832,-8.15
16478.1836,-7.05
16515.8105,-7.44
16552.6055,-7.15
16589.1406,-6.82
16626.2930,-8.83
16665.4121,-7.37
16705.0781,-8.21
16744.4160,-8.11
16784.4961,-8.23
16825.2012,-9.00
16867.3789,-7.74
16907.0547,-7.80
16946.5059,-8.38
16986.0293,-7.38
17024.6406,-8.66
17066.1973,-7.40
17105.4863,-9.37
17148.0977,-8.50
17190.4863,-8.40
17232.6211,-9.11
17275.2285,-8.39
17317.6758,-9.08
17361.4199,-9.54
17407.1738,-9.47
17452.9473,-9.47
17498.7051,-9.70
17545.2012,-8.13
17586.3848,-8.97
17630.1895,-9.74
17675.6816,-8.90
17719.9141,-8.87
17764.0391,-9.54
17809.8027,-9.82
17856.7402,-9.64
17903.1504,-9.21
17948.5273,-9.25
17993.2168,-8.94
18037.4648,-9.18
18082.2305,-9.45
18128.0039,-9.41
18173.8340,-9.36
18219.4805,-9.51
18265.7422,-9.40
18311.7812,-10.35
18361.4863,-8.67
18404.7891,-9.26
18449.3281,-8.56
18493.4316,-9.92
18539.7207,-9.21
18585.9590,-9.61
18632.1836,-9.36
18677.9102,-9.02
18723.4492,-9.69
18769.0117,-8.84
18815.0078,-10.12
18862.0254,-9.34
18907.8262,-8.44
18952.5684,-10.43
19001.1602,-9.89
